Sl. No.,State/UT,October - 2022 - Stunted,October - 2022 - Wasted,October - 2022 - Underweight,October - 2023 - Stunted,October - 2023 - Wasted,October - 2023 - Underweight,October - 2024 - Stunted,October - 2024 - Wasted,October - 2024 - Underweight
1,Andhra Pradesh,21.2,5.3,10.5,18.2,5.4,8.7,22.6,5.3,10.8
2,Arunachal Pradesh,33.3,5.3,14.6,27.2,4.6,9.1,32.7,4.1,9.6
3,Assam,39,8.2,19,39,5,15.9,42.4,3.8,16.3
4,Bihar,42.9,11,25.8,45,9,22.7,43.8,9.2,22.9
5,Chhattisgarh,39,10.4,17.9,29.4,11.3,15.5,21.5,7,13.1
6,Goa,37.2,9,16.2,18.8,2.3,5.8,4.1,0.6,1.7
7,Gujarat,53.6,8.1,23.1,43.6,8.9,20.7,40.8,7.8,21
8,Haryana,30.1,8.5,14,25.9,5.7,8.9,28.2,4.1,8.7
9,Himachal Pradesh,26.1,4.6,10.8,21.7,2.4,7.2,18.4,1.7,6.3
10,Jharkhand,43.2,12.1,25.9,38.8,8.8,18.8,43.8,6.2,19.3
11,Karnataka,41,8.9,20.7,39.7,7.5,17.5,39.7,3.2,17.1
12,Kerala,37.2,9.5,15.3,33.1,4.8,10.1,34.4,2.3,9.5
13,Madhya Pradesh,52.4,9.7,33,40.5,8.2,23.6,46.5,6.9,26.5
14,Maharashtra,49.5,7.1,21.8,48.1,5.6,17.5,47.7,4.1,16.5
15,Manipur,17.8,2.8,7.6,16.3,1.2,7.7,7.7,0.3,2.6
16,Meghalaya,27.4,3.1,8.7,24.7,1.8,6.6,18.2,0.4,4.5
17,Mizoram,20,4.2,6.2,23.5,3.7,5.6,26.7,2.3,5.9
18,Nagaland,27.8,6.9,9.8,22.9,4.6,7,28,5.3,6.6
19,Odisha,30.6,5.9,14.7,34.3,4,14.8,29.1,2.9,12.8
20,Punjab,32.9,9.2,12.9,18,5.4,7.9,18.4,3,5.9
21,Rajasthan,37,11.6,20,35.7,7.5,16.7,36.6,5.5,17.7
22,Sikkim,12.2,2.8,2.7,14.1,2.8,3.1,9.2,1.5,1.7
23,Tamil Nadu,22.6,6.1,10.5,16.6,4.8,8.1,13.4,3.6,7.1
24,Telangana,29.6,5.7,14.3,30.8,4.6,13.5,32.6,5.6,16.2
25,Tripura,36.9,9.2,16.3,37.8,7.2,15.4,40.5,6.3,16.6
26,Uttar Pradesh,45.2,9.5,21.7,45.7,5.7,19.4,48,3.9,19.4
27,Uttarakhand,31.8,6.7,8.4,33.4,6.3,8.4,21,1.5,5.4
28,West Bengal,41.1,10.1,16.2,38.1,8.6,12.5,38,7.5,13
29,Andaman and Nicobar Islands,24,6.9,10.8,20.7,4.5,8.2,8.7,2.3,3.9
30,Dadra and Nagar Haveli and Daman and Diu,52.9,15.4,40.1,45.2,12.5,32.8,35.9,3.3,16.1
31,Delhi,32.8,4.5,16.5,33.6,4.8,19.1,41.9,3,20.6
32,Jammu and Kashmir,14.5,2.5,5.6,18.1,2.5,5.1,12.1,0.7,3
33,Ladakh,27.9,5.3,8,15.9,1.8,3.5,11,0.2,2
34,Lakshadweep,100,0,75,39.9,11.8,19.4,46.5,11.9,25.1
35,Puducherry,26,9.3,12,29,7.9,11.6,40.2,6.8,13
36,Chandigarh,36.6,4.5,18,34.1,0.7,12,26.3,1.8,11.8
